 tracl=76	 tracr=76	  fldr=6	 tracf=7	   cdp=17	  trid=1	offset=-1175	scalel=1	    sx=250	    gx=-925	    ns=251	    dt=8000	

 tracl=77	 tracr=77	  fldr=5	 tracf=9	   cdp=17	  trid=1	offset=-1075	scalel=1	    sx=200	    gx=-875	    ns=251	    dt=8000	

 tracl=78	 tracr=78	  fldr=4	 tracf=11	   cdp=17	  trid=1	offset=-975	scalel=1	    sx=150	    gx=-825	    ns=251	    dt=8000	

 tracl=79	 tracr=79	  fldr=3	 tracf=13	   cdp=17	  trid=1	offset=-875	scalel=1	    sx=100	    gx=-775	    ns=251	    dt=8000	

 tracl=80	 tracr=80	  fldr=2	 tracf=15	   cdp=17	  trid=1	offset=-775	scalel=1	    sx=50	    gx=-725	    ns=251	    dt=8000	

 tracl=81	 tracr=81	  fldr=1	 tracf=17	   cdp=17	  trid=1	offset=-675	scalel=1	    sx=0	    gx=-675	    ns=251	    dt=8000	

 tracl=82	 tracr=82	  fldr=9	 tracf=2	   cdp=18	  trid=1	offset=-1425	scalel=1	    sx=400	    gx=-1025	    ns=251	    dt=8000	

 tracl=83	 tracr=83	  fldr=8	 tracf=4	   cdp=18	  trid=1	offset=-1325	scalel=1	    sx=350	    gx=-975	    ns=251	    dt=8000	

 tracl=84	 tracr=84	  fldr=7	 tracf=6	   cdp=18	  trid=1	offset=-1225	scalel=1	    sx=300	    gx=-925	    ns=251	    dt=8000	

 tracl=85	 tracr=85	  fldr=6	 tracf=8	   cdp=18	  trid=1	offset=-1125	scalel=1	    sx=250	    gx=-875	    ns=251	    dt=8000	

 tracl=86	 tracr=86	  fldr=5	 tracf=10	   cdp=18	  trid=1	offset=-1025	scalel=1	    sx=200	    gx=-825	    ns=251	    dt=8000	

 tracl=87	 tracr=87	  fldr=4	 tracf=12	   cdp=18	  trid=1	offset=-925	scalel=1	    sx=150	    gx=-775	    ns=251	    dt=8000	

 tracl=88	 tracr=88	  fldr=3	 tracf=14	   cdp=18	  trid=1	offset=-825	scalel=1	    sx=100	    gx=-725	    ns=251	    dt=8000	

 tracl=89	 tracr=89	  fldr=2	 tracf=16	   cdp=18	  trid=1	offset=-725	scalel=1	    sx=50	    gx=-675	    ns=251	    dt=8000	

 tracl=90	 tracr=90	  fldr=1	 tracf=18	   cdp=18	  trid=1	offset=-625	scalel=1	    sx=0	    gx=-625	    ns=251	    dt=8000	

 tracl=91	 tracr=91	  fldr=10	 tracf=1	   cdp=19	  trid=1	offset=-1475	scalel=1	    sx=450	    gx=-1025	    ns=251	    dt=8000	

 tracl=92	 tracr=92	  fldr=9	 tracf=3	   cdp=19	  trid=1	offset=-1375	scalel=1	    sx=400	    gx=-975	    ns=251	    dt=8000	

 tracl=93	 tracr=93	  fldr=8	 tracf=5	   cdp=19	  trid=1	offset=-1275	scalel=1	    sx=350	    gx=-925	    ns=251	    dt=8000	

 tracl=94	 tracr=94	  fldr=7	 tracf=7	   cdp=19	  trid=1	offset=-1175	scalel=1	    sx=300	    gx=-875	    ns=251	    dt=8000	

 tracl=95	 tracr=95	  fldr=6	 tracf=9	   cdp=19	  trid=1	offset=-1075	scalel=1	    sx=250	    gx=-825	    ns=251	    dt=8000	

 tracl=96	 tracr=96	  fldr=5	 tracf=11	   cdp=19	  trid=1	offset=-975	scalel=1	    sx=200	    gx=-775	    ns=251	    dt=8000	

 tracl=97	 tracr=97	  fldr=4	 tracf=13	   cdp=19	  trid=1	offset=-875	scalel=1	    sx=150	    gx=-725	    ns=251	    dt=8000	

 tracl=98	 tracr=98	  fldr=3	 tracf=15	   cdp=19	  trid=1	offset=-775	scalel=1	    sx=100	    gx=-675	    ns=251	    dt=8000	

 tracl=99	 tracr=99	  fldr=2	 tracf=17	   cdp=19	  trid=1	offset=-675	scalel=1	    sx=50	    gx=-625	    ns=251	    dt=8000	

 tracl=100	 tracr=100	  fldr=1	 tracf=19	   cdp=19	  trid=1	offset=-575	scalel=1	    sx=0	    gx=-575	    ns=251	    dt=8000	

 tracl=101	 tracr=101	  fldr=10	 tracf=2	   cdp=20	  trid=1	offset=-1425	scalel=1	    sx=450	    gx=-975	    ns=251	    dt=8000	

 tracl=102	 tracr=102	  fldr=9	 tracf=4	   cdp=20	  trid=1	offset=-1325	scalel=1	    sx=400	    gx=-925	    ns=251	    dt=8000	

 tracl=103	 tracr=103	  fldr=8	 tracf=6	   cdp=20	  trid=1	offset=-1225	scalel=1	    sx=350	    gx=-875	    ns=251	    dt=8000	

